image_id,device_id,timestamp,source_type,image_path,processed_path,width,height,brightness,processing_status,processing_time_ms,note
img_2d74745232,simulated_camera,2026-06-09T07:36:26,demo_script,data/raw_images/img_2d74745232.jpg,data/processed_images/img_2d74745232_processed_steps.jpg,640,360,233.55,processed,171.03,demo_frame=0
img_e35d0bf94d,simulated_camera,2026-06-09T07:36:26,demo_script,data/raw_images/img_e35d0bf94d.jpg,data/processed_images/img_e35d0bf94d_processed_steps.jpg,640,360,233.55,processed,7.17,demo_frame=1
img_494650f8dd,camera:no_camera_fallback,2026-06-09T07:36:29,motion_capture,data/raw_images/img_494650f8dd.jpg,data/processed_images/img_494650f8dd_processed_steps.jpg,640,360,233.55,processed,5.06,"motion_score=1162.0, threshold=25, min_area=800"
img_8999750daf,local_smoke,2026-06-10T07:49:47,script,data\raw_images\img_8999750daf.jpg,data\processed_images\img_8999750daf_processed_steps.jpg,640,360,233.55,processed,19.46,python app.py smoke test
img_71f687258d,local_smoke,2026-06-10T07:52:24,script,data\raw_images\img_71f687258d.jpg,data\processed_images\img_71f687258d_processed_steps.jpg,640,360,233.55,processed,10.33,python app.py smoke test
img_0d944caff1,local_smoke,2026-06-10T07:52:30,script,data\raw_images\img_0d944caff1.jpg,data\processed_images\img_0d944caff1_processed_steps.jpg,640,360,233.55,processed,12.25,python app.py smoke test
img_674150d9c4,simulated_camera,2026-06-10T07:54:14,demo_script,data\raw_images\img_674150d9c4.jpg,data\processed_images\img_674150d9c4_processed_steps.jpg,640,360,233.51,processed,13.12,demo_frame=0
img_e0b9345b9d,simulated_camera,2026-06-10T07:54:14,demo_script,data\raw_images\img_e0b9345b9d.jpg,data\processed_images\img_e0b9345b9d_processed_steps.jpg,640,360,233.51,processed,8.61,demo_frame=1
img_11362d1903,camera:no_camera_fallback,2026-06-10T07:54:16,motion_capture,data\raw_images\img_11362d1903.jpg,data\processed_images\img_11362d1903_processed_steps.jpg,640,360,233.51,processed,9.26,"motion_score=1162.0, threshold=25, min_area=800"
img_bef5dc0e68,image_upload_dashboard,2026-06-10T07:55:51,upload,data\raw_images\img_bef5dc0e68.jpg,data\processed_images\img_bef5dc0e68_processed_steps.jpg,960,600,68.24,processed,12.02,filename=z7869379627675_e2d334261d4599912058207f51bed605.jpg
